Wall time,Step,Value
1662579907.5220785,0,0.014001528732478619
1662579916.3729992,3,0.009495832957327366
1662579919.377495,4,0.008616351522505283
1662579936.968358,10,0.00485327560454607
1662579940.0815299,11,0.00436030188575387
1662579949.1099417,14,0.003279101336374879
1662579952.1678934,15,0.0030198402237147093
1662579961.6012414,18,0.0023566619493067265
1662579964.4896305,19,0.002149738371372223
1662579967.480164,20,0.001966397278010845
1662579973.3098376,22,0.0017683662008494139
1662579976.2461653,23,0.0017223394243046641
1662579985.0977712,26,0.0015772999031469226
1662579988.1629584,27,0.0015123827615752816
1662580006.2268014,33,0.0012640259228646755
1662580015.2055073,36,0.001156821264885366
1662580018.1488707,37,0.0011154304957017303
1662580020.999125,38,0.0010750525398179889
1662580024.062284,39,0.0010392912663519382
1662580026.8601384,40,0.00100977614056319
1662580047.5434642,47,0.0008622519089840353
1662580050.6884964,48,0.0008437343640252948
1662580053.722531,49,0.0008237792062573135
1662580059.6995933,51,0.0007823622436262667
1662580062.7290475,52,0.0007641162956133485
1662580068.6638536,54,0.0007355340057983994
1662580077.8399906,57,0.0007044232334010303
1662580086.8484335,60,0.0006776663358323276
1662580089.7760375,61,0.0006691921153105795
1662580092.8271382,62,0.0006606301758438349
1662580095.8601172,63,0.0006523282499983907
1662580101.7538316,65,0.0006361064151860774
1662580104.5729442,66,0.0006288431468419731
1662580107.3676927,67,0.0006218988564796746
1662580110.2599185,68,0.0006149728433229029
1662580115.9581897,70,0.0006016868865117431
1662580118.845136,71,0.0005950666381977499
1662580137.112969,77,0.0005582037847489119
1662580143.07818,79,0.000546258466783911
1662580146.1580284,80,0.0005402932874858379
1662580152.1359177,82,0.0005286865052767098
1662580155.109064,83,0.000522965332493186
1662580161.0182607,85,0.0005117910914123058
1662580173.071381,89,0.0004900600761175156
1662580176.0183194,90,0.0004847735690418631
1662580190.9555602,95,0.0004592274490278214
1662580202.7019186,99,0.00043967488454654813
1662580205.694091,100,0.0004349053488112986
1662580214.4361546,103,0.00042089293128810823
1662580223.585254,106,0.000407285348046571
1662580226.5899165,107,0.00040284261922352016
1662580232.6271236,109,0.00039410393219441175
1662580248.0855644,114,0.0003731783071998507
1662580254.1303086,116,0.00036509838537313044
1662580269.3558424,121,0.00034590146970003843
1662580281.2778165,125,0.0003316232468932867
1662580284.0107486,126,0.0003282400139141828
1662580289.9724052,128,0.00032160888076759875
1662580296.1227732,130,0.0003152439894620329
1662580299.1736696,131,0.000312172865960747
1662580302.2653277,132,0.0003090958343818784
1662580314.7261417,136,0.00029732819530181587
1662580317.6877627,137,0.0002944885636679828
