Wall time,Step,Value
1662579792.4548674,0,0.0987212061882019
1662579794.381117,3,0.058692533522844315
1662579794.9545126,4,0.0489957220852375
1662579798.560872,10,0.01123261172324419
1662579799.093353,11,0.010925982147455215
1662579801.0615065,14,0.008303736336529255
1662579801.6200478,15,0.006975426338613033
1662579803.7155628,18,0.006662079133093357
1662579804.0482216,19,0.007061944808810949
1662579804.3609147,20,0.007186445873230696
1662579805.0055137,22,0.006326461210846901
1662579805.2928596,23,0.0055196224711835384
1662579806.8032918,26,0.003637191141024232
1662579807.3603146,27,0.003499040612950921
1662579810.007868,33,0.0033232131972908974
1662579811.665146,36,0.003089515957981348
1662579812.206407,37,0.0030394564382731915
1662579813.1533172,38,0.0029563908465206623
1662579813.729027,39,0.0028316432144492865
1662579814.2686808,40,0.002677598036825657
1662579818.362799,47,0.002232606988400221
1662579819.0034049,48,0.0021893559023737907
1662579819.6079533,49,0.002132823457941413
1662579820.6962023,51,0.0020354604348540306
1662579821.415203,52,0.0020079074893146753
1662579822.4759176,54,0.001968031283468008
1662579824.2286756,57,0.0018718752544373274
1662579825.9295747,60,0.0018192385323345661
1662579826.4698842,61,0.0018101335735991597
1662579827.0300915,62,0.0017968632746487856
1662579827.5559888,63,0.0017784737283363938
1662579828.648025,65,0.0017413177993148565
1662579829.2341309,66,0.001729674288071692
1662579829.770349,67,0.0017226581694558263
1662579830.3440034,68,0.0017175640678033233
1662579831.4612753,70,0.001703292946331203
1662579831.9864144,71,0.001693462603725493
1662579835.6161225,77,0.0016392737161368132
1662579836.7842908,79,0.0016211832407861948
1662579837.3106244,80,0.0016134482575580478
1662579838.5044887,82,0.0016003164928406477
1662579839.138536,83,0.0015940938610583544
1662579840.2101839,85,0.0015801095869392157
1662579842.3453944,89,0.0015517447609454393
1662579842.9162304,90,0.0015451933722943068
1662579845.6028943,95,0.0015129934763535857
1662579847.9412348,99,0.0014888782752677798
1662579848.5238383,100,0.0014830081490799785
1662579850.319065,103,0.001465852721594274
1662579852.1733572,106,0.0014484603889286518
1662579852.7128706,107,0.001442764769308269
1662579853.91222,109,0.001431607874110341
1662579857.0527983,114,0.0014039769303053617
1662579858.2152827,116,0.0013930352870374918
1662579861.422009,121,0.0013657714007422328
1662579863.8436246,125,0.001344262040220201
1662579864.3754365,126,0.0013389097293838859
1662579865.4815984,128,0.0013281656429171562
1662579866.8867447,130,0.0013174033956602216
1662579867.4981394,131,0.0013120196526870131
1662579868.0727124,132,0.0013066187966614962
1662579870.472947,136,0.001284699304960668
1662579871.101037,137,0.0012791227782145143
1662579874.8338034,143,0.0012445807224139571
1662579875.3676069,144,0.001238713157363236
1662579876.5273116,146,0.001226897700689733
1662579877.0642295,147,0.0012209375854581594
1662579879.1317782,150,0.0012030972866341472
1662579883.5801485,157,0.0011615206021815538
1662579884.7326787,159,0.001149496529251337
1662579885.2869623,160,0.0011434511980041862
1662579886.8332775,162,0.0011312837013974786
1662579887.9868195,164,0.0011190574150532484
1662579889.368331,166,0.0011067813029512763
1662579891.587523,170,0.0010821993928402662
1662579892.3349721,171,0.0010760454460978508
1662579892.8848767,172,0.0010698832338675857
1662579894.5700731,175,0.001051314640790224
1662579895.3326092,176,0.001045079668983817
1662579895.8970704,177,0.0010388247901573777
1662579896.4887307,178,0.0010325490729883313
1662579897.5827703,180,0.001019952236674726
1662579898.3152905,181,0.0010136481141671538
1662579899.9806683,184,0.000994691508822143
