Wall time,Step,Value
1662553271.822402,222,0.000159013710799627
1662553273.897024,226,0.00015503780741710216
1662553277.5334148,233,0.0001470171700930223
1662553283.018807,243,0.0001363664196105674
1662553285.151992,247,0.00013302503793966025
1662553285.7048979,248,0.00013219482207205147
1662553286.716123,250,0.00013053161092102528
1662553287.7790182,252,0.00012891768710687757
1662553289.397782,255,0.00012679421342909336
1662553291.034782,258,0.00012577285815495998
1662553291.5792294,259,0.0001259901182493195
1662553293.2399292,264,0.0001285350590478629
1662553293.560569,265,0.0001249020715476945
1662553296.6299868,271,0.00011990711209364235
1662553296.9180164,272,0.00011847026325995103
1662553297.2274902,273,0.0001161586624220945
1662553297.759388,274,0.00011388918210286647
1662553301.3534467,282,0.00010950807336485013
1662553302.9491322,285,0.00010713969095377252
1662553303.5576441,286,0.00010697620746213943
1662553307.6754842,294,0.00010438345634611323
1662553313.1210423,304,0.00010073466546600685
1662553313.747703,306,0.00010182827099924907
1662553314.330883,308,0.00010454688890604302
1662553314.9334884,310,0.00010782722529256716
1662553315.2557888,311,0.00010839023161679506
1662553315.6006691,312,0.00010651852062437683
1662553323.1488621,332,9.009239147417247e-05
1662553325.3996692,336,8.754177542869002e-05
1662553327.5588791,342,8.767050167080015e-05
1662553329.0191145,347,8.825971599435434e-05
1662553330.867132,353,8.993815572466701e-05
1662553331.4475586,355,8.900473767425865e-05
1662553331.7343025,356,8.798327326076105e-05
1662553334.2604394,361,8.163419261109084e-05
1662553336.1308064,365,8.132375660352409e-05
1662553336.4235141,366,8.16105748526752e-05
1662553337.9517486,371,8.4057537605986e-05
1662553338.5117965,373,8.567053737351671e-05
1662553338.8371863,374,8.644907211419195e-05
1662553339.7665262,377,8.749240078032017e-05
1662553341.5197873,382,7.88172401371412e-05
1662553343.5380404,386,7.749504584353417e-05
1662553344.418182,389,7.916915637906641e-05
1662553345.0219054,391,7.93626022641547e-05
1662553345.869242,394,7.80661212047562e-05
1662553347.9651718,399,7.50993422116153e-05
1662553351.8908355,407,7.329415529966354e-05
1662553353.9933174,411,7.288414053618908e-05
1662553354.5865176,412,7.286744221346453e-05
1662553356.017023,416,7.473523146472871e-05
1662553357.5140915,421,0.00011539801926119253
1662553358.3984053,424,0.00013030348054599017
1662553359.0120735,426,7.308115891646594e-05
1662553359.3118916,427,7.639595423825085e-05
1662553359.6567352,428,9.635721653467044e-05
1662553359.981355,429,0.00010315891267964616
1662553360.5954947,431,7.187558367149904e-05
1662553361.1560426,432,7.433209248119965e-05
1662553362.9357228,437,7.556271157227457e-05
1662553363.2810419,438,8.141445141518489e-05
1662553363.6228101,439,7.718704000581056e-05
1662553364.2586348,441,7.034040027065203e-05
1662553365.2389867,444,7.127874414436519e-05
1662553366.1272628,446,7.068175909807906e-05
1662553367.082787,449,6.872091034892946e-05
1662553367.401828,450,6.818434485467151e-05
1662553368.3214316,452,7.072454172885045e-05
1662553368.6248202,453,6.930027302587405e-05
1662553368.9566503,454,6.763890996808186e-05
1662553369.561469,455,6.768931052647531e-05
1662553369.860563,456,6.876508268760517e-05
1662553372.1279008,463,6.71364541631192e-05
1662553374.4411213,469,6.599433982046321e-05
1662553374.9726043,470,6.573546124855056e-05
1662553375.7728293,472,6.589783151866868e-05
